Id,Suburb,Value,Date,NumberOfBedrooms,Type
615,Thornleigh,1339,24/02/2024,3,unit
616,Allawah,859,25/03/2024,3,house
617,Rosehill,877,17/03/2023,3,house
618,Manly Vale,1920,05/02/2024,2,house
619,Eastern Creek,502,22/03/2024,3,unit
620,Chiswick,781,03/11/2023,4,house
621,Pitt Town,2089,27/03/2023,4,house
622,Mount Lewis,1022,30/10/2023,2,unit
623,Turrella,537,23/02/2023,3,unit
624,East Killara,1689,11/07/2023,2,house
625,Heathcote,1186,22/02/2023,4,house
626,Ryde,1710,05/05/2023,2,house
627,Bardwell Park,1191,18/03/2024,2,unit
628,Centennial Park,1409,04/01/2023,4,unit
629,Villawood,1255,05/06/2023,4,unit
630,Wedderburn,867,14/12/2023,4,unit
631,Coasters Retreat,790,30/06/2024,4,unit
632,Mays Hill,1480,17/12/2023,5,house
633,Seaforth,855,01/09/2024,3,unit
634,Werrington Downs,1750,08/10/2024,3,house
635,Regents Park,987,19/03/2024,4,house
636,Mulgrave,981,11/06/2024,3,house
637,Forestville,957,02/01/2024,1,unit
638,Brookvale,1206,30/03/2023,3,house
639,Pyrmont,1953,09/02/2023,5,house
640,Macquarie Links,503,21/05/2024,5,unit
641,Kingswood,820,02/10/2023,1,unit
642,Dawes Point,1432,26/08/2023,3,unit
643,Concord,1212,30/01/2023,5,unit
644,Woronora,2023,17/02/2024,3,house
645,Marayong,911,29/08/2023,4,unit
646,Bidwill,2118,24/02/2024,3,house
647,Rose Bay,810,23/09/2024,4,house
648,Wollstonecraft,1123,08/05/2024,3,house
649,Erskine Park,2098,12/05/2023,1,house
650,Sydenham,1095,13/04/2023,4,unit
651,Glenorie,1117,29/04/2024,4,house
652,Raby,1993,28/12/2023,3,house
653,Horsley Park,1019,20/04/2023,4,unit
654,Clovelly,1255,11/03/2024,4,unit
655,Agnes Banks,1828,07/10/2023,3,house
656,Glenfield,1281,17/05/2024,2,house
657,Kellyville,720,23/02/2023,4,unit
658,Telopea,1349,29/08/2023,1,unit
659,Kentlyn,1494,01/01/2024,4,unit
660,Barden Ridge,1569,28/01/2024,4,house
661,Gregory Hills,733,06/09/2023,3,unit
662,Rosebery,866,04/07/2023,1,unit
663,Narellan Vale,956,06/08/2023,4,unit
664,Denistone East,1201,06/03/2023,4,house
665,Sydenham,937,18/02/2024,3,house
666,Warwick Farm,1051,17/08/2024,1,house
667,Berowra,1491,25/05/2024,3,unit
668,Glen Alpine,981,26/03/2024,3,unit
669,Punchbowl,1274,17/09/2023,1,unit
670,Erskineville,2031,17/03/2023,3,house
671,Morning Bay,952,01/01/2024,1,unit
672,Mount Pritchard,1311,08/03/2024,4,unit
673,Ramsgate,926,12/04/2024,5,unit
674,Casula,1379,24/05/2024,5,unit
675,Camellia,1318,27/09/2024,4,house
676,The Rocks,1743,17/02/2024,3,house
677,Berrilee,1065,09/05/2023,4,house
678,Panania,550,18/08/2023,2,unit
679,Forest Glen,690,02/08/2024,4,unit
680,Leumeah,895,26/04/2024,5,house
681,Fairfield,1300,05/06/2024,4,unit
682,Cowan,2227,30/04/2023,3,house
683,Mount Annan,805,07/04/2023,3,unit
684,Ashfield,1380,07/04/2024,5,house
685,Banksia,990,10/10/2024,3,house
686,Parklea,849,24/11/2023,1,house
687,Roseville,1017,06/05/2024,3,house
688,Grays Point,2238,16/01/2023,3,house
689,Annandale,1440,04/12/2023,4,house
690,Lovett Bay,2121,12/01/2024,5,house
691,Cecil Park,2209,26/06/2024,3,house
692,Darling Point,1771,20/08/2023,4,house
693,Tamarama,1722,11/01/2024,3,house
694,Casula,958,12/05/2024,2,unit
695,Woodbine,828,10/05/2024,3,unit
696,Len Waters Estate,1120,10/04/2023,4,house
697,Cambridge Gardens,961,31/01/2024,1,unit
698,Bonnet Bay,1140,02/08/2023,4,unit
699,Guildford West,655,08/09/2023,2,unit
700,South Turramurra,1480,14/03/2024,2,house
701,Bankstown,1062,28/01/2024,2,house
702,Newtown,1139,22/05/2023,2,unit
703,Greenacre,566,20/03/2023,4,unit
704,Turramurra,1255,18/08/2024,2,house
705,Erskineville,926,14/12/2023,3,unit
706,Woodcroft,798,23/04/2024,3,house
707,Haberfield,1046,27/09/2023,4,unit
708,Cecil Hills,548,11/04/2024,3,unit
709,Croydon,1875,05/04/2023,4,house
710,Dundas Valley,1824,19/08/2024,3,house
711,Annangrove,1007,13/10/2023,2,unit
712,Killara,907,02/06/2023,4,house
713,Kearns,918,06/07/2023,5,unit
714,South Penrith,1091,04/12/2023,4,unit
715,Warriewood,1311,13/01/2024,2,house
716,Mount Lewis,975,21/08/2024,4,house
717,Banksmeadow,1941,18/02/2023,3,house
718,Wattle Grove,719,04/06/2023,3,unit
719,Brighton-Le-Sands,1415,18/07/2024,2,unit
720,Wentworth Point,727,18/06/2024,5,unit
721,Greenacre,637,20/07/2023,2,unit
722,Burwood Heights,1512,11/01/2024,4,house
723,Plumpton,1407,26/06/2024,3,unit
724,Blair Athol,2151,28/01/2024,1,house
725,Greenhills Beach,1143,25/04/2024,2,unit
726,Rosehill,1989,01/11/2023,4,house
727,Oatlands,1849,04/01/2023,4,house
728,The Rocks,1020,28/09/2023,2,unit
729,Loftus,694,22/04/2024,2,unit
730,Killarney Heights,2160,18/09/2024,4,house
731,South Maroota,1900,20/02/2024,3,house
732,Milperra,1861,30/05/2023,3,house
733,Petersham,1202,23/10/2023,3,unit
734,Milperra,2032,17/04/2024,4,house
735,Burwood Heights,742,05/12/2023,4,unit
736,Dulwich Hill,1903,08/03/2024,2,house
737,Eastwood,1206,16/07/2024,1,unit
738,Colebee,1429,10/08/2024,5,unit
739,Brooklyn,959,19/05/2023,1,unit
740,Clarendon,1468,06/10/2023,2,unit
741,Cottage Point,1633,04/06/2023,2,house
742,Waterloo,1821,12/04/2024,3,house
743,Gilead,1146,17/04/2024,2,house
744,Westleigh,652,03/05/2023,4,unit
745,Waterfall,1235,24/03/2024,2,unit
746,Glenhaven,1390,31/10/2023,3,house
747,Oxford Falls,1462,22/01/2023,4,house
748,North Bondi,1314,15/03/2023,2,house
749,Oyster Bay,757,28/07/2024,2,house
750,Bayview,1464,12/05/2023,4,unit
751,Chatswood West,1449,27/08/2023,2,unit
752,Arcadia,1168,20/06/2023,2,house
753,Kearns,1785,26/10/2023,5,house
754,Dural,744,27/06/2024,3,unit
755,Dolls Point,1056,18/07/2023,4,unit
756,Blairmount,1057,02/02/2024,5,unit
757,Milsons Point,1330,03/10/2023,3,unit
758,Yagoona,1779,17/09/2024,3,house
759,Bow Bowing,657,27/08/2024,3,unit
760,Dolls Point,1218,17/04/2023,2,unit
761,Forestville,817,22/08/2024,3,unit
762,Nelson,989,10/08/2023,3,unit
763,Phillip Bay,806,09/02/2023,1,unit
764,Maraylya,1373,14/03/2024,4,unit
765,Cambridge Gardens,786,22/01/2023,2,house
766,Willoughby East,1561,28/02/2023,4,house
767,Greystanes,700,27/03/2023,3,unit
768,Lindfield,1474,24/10/2024,5,house
769,Seaforth,1264,21/11/2023,2,unit
770,Riverstone,897,08/08/2024,2,unit
771,Wolli Creek,1092,04/04/2024,4,house
772,Mays Hill,1665,20/08/2023,3,house
773,Lalor Park,1200,18/01/2023,4,unit
774,Leppington,1230,10/03/2024,2,house
775,Revesby,1139,20/06/2023,4,unit
776,Dharruk,1995,26/06/2023,2,house
777,Cattai,2134,10/10/2023,5,house
778,Bilgola Beach,630,07/08/2023,3,unit
779,Sefton,1049,27/06/2023,2,unit
780,Little Bay,1542,06/07/2024,3,house
781,Ingleside,1944,18/01/2023,3,house
782,South Hurstville,931,08/09/2024,3,unit
783,Potts Hill,1497,18/05/2024,1,unit
784,Sandringham,1170,29/11/2023,3,unit
785,Gregory Hills,924,16/07/2023,4,unit
786,Catherine Field,1357,08/11/2023,4,unit
787,Point Piper,1100,04/06/2024,3,unit
788,Belrose,1627,27/10/2023,5,house
789,Denistone West,1382,07/05/2023,5,unit
790,Berala,1690,02/08/2023,3,house
791,Clovelly,1480,25/04/2024,2,house
792,Northmead,677,25/02/2023,3,unit
793,Merrylands,804,02/06/2024,3,house
794,Middleton Grange,1996,01/05/2023,5,house
795,Bardia,940,21/04/2023,3,house
796,Narellan Vale,1023,11/12/2023,2,house
797,Llandilo,1356,02/08/2023,2,house
798,Brooklyn,890,14/05/2024,1,unit
799,Woollahra,1498,19/08/2023,4,unit
800,Woolwich,1680,27/06/2024,3,house
801,Woolooware,888,27/10/2023,4,house
802,Lugarno,1891,04/07/2024,4,house
803,Burwood Heights,1909,28/04/2024,4,house
804,Bardia,747,18/08/2024,4,unit
805,Thornleigh,1126,07/02/2023,1,house
806,Burwood Heights,1500,27/10/2024,4,unit
807,St Helens Park,1247,15/07/2024,2,unit
808,Castlecrag,1615,16/09/2024,2,house
809,Oakville,1806,10/03/2023,4,house
810,North Bondi,1267,30/06/2023,3,house
811,Arcadia,1774,12/10/2023,2,house
812,Burwood Heights,1068,18/08/2024,3,unit
813,Glenorie,1330,09/09/2024,4,house
814,Liberty Grove,1210,12/10/2023,2,unit
815,Liverpool,1330,30/11/2023,3,house
816,Artarmon,1630,23/01/2023,4,house
817,Palm Beach,1996,24/09/2023,4,house
818,East Killara,1023,15/12/2023,4,unit
819,St Ives Chase,880,21/11/2023,4,unit
820,Royal National Park,728,14/06/2024,5,unit
821,Elvina Bay,1855,01/01/2024,1,house
822,Yarrawarrah,627,13/07/2023,3,unit
823,West Hoxton,1861,19/06/2024,2,house
824,Caringbah,1924,31/08/2023,3,house
825,Eastern Creek,1677,29/01/2023,3,house
826,Kogarah,1360,02/08/2023,2,house
827,Narrabeen,1906,11/01/2024,1,house
828,Lucas Heights,1468,14/10/2023,2,house
829,Pendle Hill,1653,09/08/2024,5,house
830,Hurlstone Park,2209,08/01/2024,3,house
831,Pyrmont,844,24/05/2023,1,unit
832,Bankstown,2082,23/06/2024,2,house
833,St Clair,730,07/06/2024,3,unit
834,Woodpark,2127,04/01/2024,2,house
835,Kirrawee,1476,15/05/2024,3,unit
836,Peakhurst,1905,07/05/2024,2,house
837,Connells Point,1223,18/11/2023,4,unit
838,Petersham,1367,27/03/2024,2,unit
839,Windsor,2049,20/04/2023,3,house
840,Werrington Downs,1278,24/03/2023,5,unit
841,Hillsdale,2181,12/09/2023,4,house
842,Darlinghurst,1108,21/09/2024,3,house
843,Miranda,1283,11/08/2023,5,unit
844,Regents Park,1279,21/04/2023,3,unit
845,Illawong,1458,26/02/2024,1,unit
846,Constitution Hill,1420,05/09/2024,4,unit
847,Sans Souci,1372,02/04/2023,4,unit
848,North Narrabeen,1448,24/12/2023,1,unit
849,Lilli Pilli,1164,19/04/2024,3,unit
850,Dolans Bay,2158,05/10/2023,3,house
851,Pyrmont,1650,26/11/2023,3,house
852,Riverview,1738,01/08/2024,2,house
853,North Rocks,973,08/10/2024,2,unit
854,Hornsby,1483,04/10/2023,4,house
855,Sadleir,889,28/01/2024,4,house
856,Regentville,1804,11/05/2023,2,house
857,Dharruk,1642,15/05/2024,2,house
858,Galston,1209,22/02/2024,5,unit
859,St Ives,2214,20/07/2024,5,house
860,Willmot,2154,17/01/2024,1,house
861,Voyager Point,792,30/06/2024,5,house
862,Hurlstone Park,508,28/02/2024,2,unit
863,Wentworth Point,1011,05/09/2023,5,house
864,Panania,808,25/08/2024,4,house
865,West Pennant Hills,1422,23/05/2024,2,unit
866,Waverley,1954,28/05/2024,2,house
867,Clontarf,985,04/04/2024,3,unit
868,Kirrawee,1472,05/10/2024,1,unit
869,Edensor Park,2085,11/11/2023,1,house
870,Epping,1377,16/08/2023,2,house
871,Ramsgate,2029,07/06/2023,2,house
872,North Turramurra,1818,04/08/2024,2,house
873,Warriewood,880,20/06/2023,3,unit
874,Darling Point,1113,02/04/2024,3,unit
875,Milsons Point,1192,17/01/2024,2,unit
876,Narellan,823,05/06/2024,4,house
877,Malabar,675,05/07/2024,2,unit
878,Mount Lewis,1746,12/05/2024,1,house
879,Rockdale,891,27/04/2024,4,house
880,Cherrybrook,610,31/05/2023,2,unit
881,Duffys Forest,1846,23/03/2024,2,house
882,Clovelly,1377,22/01/2023,3,unit
883,Bondi Junction,583,02/07/2023,3,unit
884,Newport,1050,29/06/2023,1,house
885,Double Bay,1092,16/08/2024,4,house
886,Smithfield,529,10/09/2023,3,unit
887,Malabar,2118,26/07/2024,3,house
888,Port Hacking,1243,07/07/2023,2,house
889,Fairfield Heights,986,29/07/2023,4,unit
890,Coogee,1306,13/09/2023,1,house
891,Killara,1983,21/06/2023,3,house
892,Engadine,1127,14/07/2024,3,unit
893,Agnes Banks,522,15/03/2023,3,unit
894,South Turramurra,1342,16/10/2023,5,unit
895,Maraylya,1219,31/05/2023,2,unit
896,Claymore,657,29/04/2023,5,unit
897,Strathfield South,1061,21/10/2024,4,unit
898,Mount Vernon,1909,25/12/2023,2,house
899,Hassall Grove,705,02/02/2024,2,unit
900,Lugarno,1246,04/06/2023,5,house
901,Dural,1450,05/07/2023,1,house
902,Edgecliff,1346,20/10/2024,2,unit
903,Coogee,2049,24/01/2023,2,house
904,Plumpton,1450,01/05/2024,1,house
905,Glenorie,1282,02/01/2024,4,house
906,Wiley Park,610,25/02/2024,5,unit
907,Kellyville,1101,08/10/2023,4,house
908,Holsworthy,661,16/04/2023,1,unit
909,Canada Bay,1387,06/08/2023,4,house
910,Point Piper,1444,08/11/2023,4,unit
911,Hunters Hill,2137,26/06/2023,2,house
912,Rushcutters Bay,553,16/07/2023,4,unit
913,North Bondi,837,21/02/2023,4,house
914,Waverley,1654,16/10/2024,2,house
915,Putney,2080,08/03/2024,3,house
916,Queenscliff,1405,19/05/2024,4,unit
917,South Windsor,1212,27/11/2023,5,house
918,Putney,823,27/10/2024,4,unit
919,Rookwood,1085,27/02/2023,5,unit
920,Campbelltown,1132,06/02/2024,4,unit
921,Hurlstone Park,1680,18/05/2024,2,house
922,Colyton,507,25/06/2023,2,unit
923,Laughtondale,792,30/04/2024,5,unit
924,Airds,632,08/05/2023,1,unit
925,Ashbury,1557,10/07/2023,4,house
926,Granville,1966,26/05/2024,4,house
927,Elvina Bay,2041,10/01/2024,1,house
928,Clarendon,1176,08/08/2024,4,house
929,Oxford Falls,1798,10/04/2023,3,house
930,Yagoona,717,27/09/2024,3,unit
931,Yennora,2064,18/05/2023,5,house
932,Cambridge Gardens,1546,08/04/2023,5,house
933,Lilyfield,1210,05/02/2024,3,unit
934,Wollstonecraft,1387,08/07/2023,2,house
935,St Clair,888,06/09/2023,3,house
936,Mount Pritchard,2071,01/07/2024,3,house
937,Alfords Point,1459,19/03/2023,3,house
938,Hobartville,1304,13/06/2023,2,unit
939,Bonnyrigg,1194,26/04/2023,5,unit
940,Kurraba Point,955,17/08/2024,5,unit
941,Liverpool,1270,07/07/2023,2,house
942,Longueville,2245,21/06/2024,5,house
943,Greendale,1477,21/03/2023,3,house
944,Blairmount,571,18/04/2023,1,unit
945,Concord West,1321,23/10/2024,4,house
946,Waterfall,827,22/04/2023,3,unit
947,Englorie Park,1409,05/09/2024,1,unit
948,Allawah,995,31/12/2023,2,unit
949,Georges Hall,1351,27/02/2023,4,unit
950,Cecil Hills,776,23/07/2023,5,unit
951,Birchgrove,1177,06/12/2023,5,unit
952,Lidcombe,826,15/09/2023,4,unit
953,North Sydney,1214,12/01/2023,2,unit
954,Warrawee,2086,10/02/2023,5,house
955,Double Bay,951,02/08/2024,2,house
956,Revesby,2208,10/02/2024,5,house
957,Smeaton Grange,1039,01/04/2024,3,unit
958,Blairmount,2190,04/05/2023,2,house
959,Belrose,1182,18/02/2023,4,unit
960,Woollahra,1272,14/05/2024,3,unit
961,West Ryde,1024,02/07/2023,2,unit
962,Allambie Heights,1326,01/04/2023,1,unit
963,Erskineville,761,17/02/2023,3,unit
964,Wallacia,682,19/02/2024,2,unit
965,Ultimo,1012,28/09/2024,3,house
966,Concord West,1885,11/06/2024,1,house
967,Oakville,1968,30/12/2023,1,house
968,Sandringham,1420,29/09/2023,2,house
969,Darling Point,603,28/07/2023,2,unit
970,Busby,1176,02/10/2023,1,house
971,Maroota,1570,23/04/2023,4,house
972,Bella Vista,957,31/01/2023,2,house
973,Eschol Park,1444,15/08/2024,3,house
974,Riverstone,620,05/01/2024,3,unit
975,Prospect,550,06/04/2024,5,unit
976,Lilli Pilli,1195,28/11/2023,4,unit
977,St Marys,529,06/09/2023,5,unit
978,Camellia,576,24/10/2024,3,unit
979,Miller,1350,09/02/2023,5,house
980,Carramar,1143,09/12/2023,2,house
981,Kenthurst,928,24/04/2024,2,house
982,Allambie Heights,936,20/01/2024,2,house
983,Forestville,1146,18/08/2024,2,house
984,North Manly,1185,21/08/2023,4,house
985,Wheeler Heights,2184,26/05/2024,4,house
986,Kearns,1053,15/03/2024,4,unit
987,Hurstville Grove,1220,23/09/2024,3,unit
988,Auburn,1630,01/04/2024,2,house
989,Padstow,1101,20/04/2023,4,unit
990,Varroville,1939,17/10/2023,5,house
991,St Clair,634,18/09/2024,4,unit
992,Eagle Vale,1269,03/03/2023,3,unit
993,Villawood,1965,25/11/2023,2,house
994,Orchard Hills,882,27/06/2023,3,unit
995,Tregear,819,10/02/2024,4,unit
996,Castle Cove,2214,23/09/2024,3,house
997,Artarmon,1441,13/07/2024,5,house
998,St Clair,1452,31/07/2024,4,house
999,Naremburn,1035,14/10/2023,2,house
1000,Collaroy,1861,31/01/2023,5,house
1001,Great Mackerel Beach,966,03/01/2023,3,unit
1002,North Narrabeen,1924,08/04/2024,1,house
1003,Potts Hill,721,25/05/2023,3,unit
1004,North Kellyville,666,13/01/2023,1,unit
1005,Eschol Park,1341,16/04/2023,3,house
1006,Lansdowne,1307,09/04/2024,4,unit
1007,Kensington,1540,28/07/2024,4,house
1008,Darling Point,813,19/08/2024,4,house
1009,Haberfield,862,13/11/2023,1,house
1010,Tennyson Point,536,14/04/2023,4,unit
1011,Willoughby East,1843,01/10/2024,3,house
1012,Shanes Park,1734,06/05/2024,1,house
1013,Queenscliff,693,23/06/2024,4,unit
1014,Redfern,881,09/06/2023,1,unit
1015,Oatley,954,04/02/2024,1,house
1016,Punchbowl,1134,26/06/2023,2,house
1017,Fairfield East,1570,18/03/2023,3,house
1018,Lilli Pilli,1690,30/09/2023,4,house
1019,Carramar,1446,26/02/2023,2,unit
1020,Peakhurst,676,19/04/2023,3,unit
1021,Huntleys Point,1034,31/03/2023,2,unit
1022,Hurstville Grove,834,25/02/2024,4,unit
1023,Cremorne,883,22/04/2023,2,unit
1024,Catherine Field,1825,29/04/2024,4,house
1025,Bundeena,1336,13/10/2024,1,house
1026,Blairmount,1159,26/12/2023,2,house
1027,Parklea,1092,02/03/2023,5,house
1028,Malabar,1483,18/02/2024,4,unit
1029,Windsor,1188,29/02/2024,3,unit
1030,Bella Vista,1890,22/04/2024,2,house
1031,Mount Annan,2091,01/05/2023,4,house
1032,Acacia Gardens,581,11/07/2023,2,unit
1033,Narwee,1873,11/01/2023,4,house
1034,Hillsdale,1317,05/10/2023,2,house
1035,Bondi,717,21/11/2023,3,unit
1036,Thornleigh,900,11/03/2023,4,house
1037,Dover Heights,710,18/10/2024,4,unit
1038,Port Hacking,831,24/10/2023,1,unit
1039,Oatlands,1162,16/01/2023,4,unit
1040,Bellevue Hill,1680,29/04/2024,2,house
1041,Potts Point,2131,16/02/2024,5,house
1042,Prestons,1963,12/11/2023,2,house
1043,Lurnea,1276,01/01/2023,4,house
1044,Blacktown,1692,30/06/2023,5,house
1045,Bellevue Hill,1614,13/03/2023,5,house
1046,Kearns,864,19/01/2023,3,house
1047,Wollstonecraft,1424,08/07/2023,3,unit
1048,Peakhurst Heights,2218,01/10/2023,2,house
1049,Gladesville,1452,10/05/2024,4,unit
1050,Eastlakes,1230,17/01/2023,3,unit
1051,Galston,792,24/05/2024,4,house
1052,Arncliffe,966,30/05/2023,2,unit
1053,Campsie,709,09/02/2024,4,unit
1054,Bexley,2034,12/01/2024,4,house
1055,Hunters Hill,782,13/01/2023,1,unit
1056,Gregory Hills,1710,13/01/2024,3,house
1057,Banksia,1245,19/01/2024,4,unit
1058,Bellevue Hill,1809,10/01/2024,3,house
1059,Woollahra,807,16/03/2023,4,unit
1060,Woolloomooloo,997,28/10/2024,1,unit
1061,Wallacia,1327,16/10/2024,5,house
1062,Lugarno,1024,02/11/2023,3,unit
1063,Dee Why,863,03/02/2023,5,unit
1064,Killarney Heights,1512,26/04/2024,4,house
1065,Castlecrag,1666,25/09/2024,5,house
1066,Taren Point,1072,05/10/2023,5,house
1067,Gregory Hills,1019,13/02/2023,3,unit
1068,Newport,2244,25/12/2023,2,house
1069,Ashbury,612,07/07/2023,3,unit
1070,Hammondville,1037,16/08/2024,4,unit
1071,Woolooware,557,07/02/2024,3,unit
1072,Woronora Heights,1095,08/02/2023,5,unit
1073,Middle Cove,1098,02/01/2024,1,unit
1074,Bonnyrigg Heights,838,17/04/2024,3,unit
1075,Warriewood,1116,30/04/2024,5,house
1076,Sefton,766,27/06/2023,3,unit
1077,Russell Lea,982,07/11/2023,3,unit
1078,Brighton-Le-Sands,916,01/03/2023,3,unit
1079,Yarrawarrah,1044,25/07/2024,4,house
1080,North Manly,1299,11/01/2023,5,house
1081,Little Bay,1293,04/01/2023,4,house
1082,Castlecrag,1579,15/11/2023,5,house
1083,Elvina Bay,1288,14/09/2023,2,house
1084,Great Mackerel Beach,1221,04/01/2023,1,house
1085,Dolls Point,1278,03/01/2024,1,house
1086,Homebush West,1225,09/10/2024,1,house
1087,Church Point,1512,04/08/2024,3,house
1088,Horningsea Park,1170,20/11/2023,2,house
1089,Maroota,882,27/02/2024,4,house
1090,Edmondson Park,1209,05/10/2024,3,unit
1091,Darlington,918,21/12/2023,2,house
1092,Canada Bay,1360,22/08/2023,4,unit
1093,Claymore,678,22/04/2024,4,unit
1094,Penrith,1202,27/07/2024,4,unit
1095,Lewisham,1473,08/06/2023,5,unit
1096,Forest Glen,839,20/02/2024,5,unit
1097,Rhodes,820,17/09/2023,1,unit
1098,Berowra Waters,1594,09/05/2024,3,house
1099,Westmead,1236,06/11/2023,3,house
1100,Clontarf,1318,17/10/2024,3,house
1101,Gledswood Hills,1516,25/03/2023,5,house
1102,Abbotsbury,523,19/06/2023,3,unit
1103,Illawong,1290,12/09/2024,3,unit
1104,North Ryde,530,14/10/2023,4,unit
1105,Gordon,1426,11/02/2024,5,house
1106,Colebee,779,03/09/2023,3,unit
1107,Forest Lodge,966,27/02/2024,2,house
1108,Airds,1035,02/04/2023,3,house
1109,Riverwood,1484,25/06/2023,1,unit
1110,Canoelands,730,15/05/2023,4,unit
1111,Huntleys Cove,1558,26/09/2023,1,house
1112,Claymore,1989,17/03/2024,1,house
1113,Clyde,503,28/12/2023,5,unit
1114,Castle Hill,700,20/08/2023,5,unit
1115,Cremorne,952,09/03/2023,4,house
1116,Horningsea Park,1207,31/07/2024,5,house
1117,Warwick Farm,1101,15/10/2024,5,house
1118,Newport,899,09/09/2023,1,unit
1119,Sadleir,604,14/12/2023,3,unit
1120,Edmondson Park,1791,04/09/2023,3,house
1121,South Hurstville,1151,03/03/2023,3,unit
1122,Lakemba,1360,07/02/2023,4,house
1123,McCarrs Creek,1111,25/02/2023,3,house
1124,Middle Cove,2238,26/04/2024,4,house
1125,Greenacre,1210,18/08/2024,4,unit
1126,The Rocks,1605,20/04/2023,5,house
1127,Hinchinbrook,1041,04/01/2023,2,house
1128,Crows Nest,692,01/03/2023,2,unit
1129,Fairfield East,1323,24/08/2024,2,house
1130,Waterfall,965,14/10/2023,1,unit
1131,Agnes Banks,717,14/12/2023,4,unit
1132,Millers Point,2152,03/05/2024,2,house
1133,Enmore,1116,20/10/2024,5,house
1134,Minchinbury,1728,01/07/2023,2,house
1135,Ropes Crossing,1210,04/01/2023,4,unit
1136,Linley Point,632,05/06/2024,3,unit
1137,Eastlakes,1257,11/03/2023,1,house
1138,Chiswick,765,20/06/2024,5,house
1139,Watsons Bay,1233,01/04/2024,4,unit
1140,Gymea,1648,09/10/2024,3,house
1141,Woronora,532,09/03/2023,1,unit
1142,Arndell Park,1708,15/09/2024,4,house
1143,Great Mackerel Beach,1279,17/04/2023,2,house
1144,Berowra,1335,22/08/2023,2,unit
1145,North Curl Curl,1123,01/10/2023,4,house
1146,Eastwood,1558,05/02/2023,4,house
1147,Panania,1273,08/01/2024,1,unit
1148,Maianbar,2145,10/04/2023,3,house
1149,Cammeray,1978,19/09/2023,3,house
1150,Ashbury,1162,12/10/2023,4,house
1151,Rosehill,1083,02/02/2023,2,unit
1152,Windsor Downs,874,23/04/2023,4,house
1153,Londonderry,560,19/05/2023,4,unit
1154,North Balgowlah,1668,05/09/2023,2,house
1155,Werrington County,1843,15/04/2023,2,house
1156,Bidwill,1267,05/01/2023,4,house
1157,Currans Hill,1224,16/05/2024,1,house
1158,Denham Court,1136,09/04/2023,3,unit
1159,South Coogee,1894,05/09/2023,4,house
1160,Bexley,513,16/04/2024,5,unit
1161,Milsons Passage,1125,18/08/2023,3,house
1162,Wallacia,757,08/05/2023,3,house
1163,Cowan,1070,10/01/2024,4,unit
1164,Lucas Heights,656,01/10/2024,1,unit
1165,McCarrs Creek,1106,28/04/2023,5,unit
1166,Wedderburn,1402,02/10/2023,5,house
1167,Cremorne Point,756,26/01/2023,3,unit
1168,Colyton,1369,07/10/2024,3,house
1169,Dawes Point,1696,13/06/2023,2,house
